id,sport,type,canonical_name,zh_hans,zh_hant,en,ja,es,aliases
premier_league,football,league,Premier League,英超,英超,Premier League,プレミアリーグ,Premier League,英超 | Premier League | EPL | English Premier League
primera_division,football,league,Primera Division,西甲,西甲,La Liga,ラ・リーガ,La Liga,西甲 | La Liga | LaLiga | Primera Division
serie_a,football,league,Serie A,意甲,意甲,Serie A,セリエA,Serie A,意甲 | Serie A | Italian Serie A
bundesliga,football,league,Bundesliga,德甲,德甲,Bundesliga,ブンデスリーガ,Bundesliga,德甲 | Bundesliga | German Bundesliga
ligue_1,football,league,Ligue 1,法甲,法甲,Ligue 1,リーグ・アン,Ligue 1,法甲 | Ligue 1 | French Ligue 1
championship,football,league,Championship,英冠,英冠,EFL Championship,EFLチャンピオンシップ,EFL Championship,英冠 | Championship | EFL Championship
campeonato_brasileiro_serie_a,football,league,Campeonato Brasileiro Série A,巴甲,巴甲,Brasileirão Série A,カンピオナート・ブラジレイロ・セリエA,Campeonato Brasileño Serie A,巴甲 | Brasileirão | Brasileirao | Serie A Brazil | Campeonato Brasileiro | Campeonato Brasileiro Série A
eredivisie,football,league,Eredivisie,荷甲,荷甲,Eredivisie,エールディヴィジ,Eredivisie,荷甲 | Eredivisie | Dutch Eredivisie
primeira_liga,football,league,Primeira Liga,葡超,葡超,Primeira Liga,プリメイラ・リーガ,Primeira Liga,葡超 | Primeira Liga | Liga Portugal
copa_libertadores,football,league,Copa Libertadores,南美解放者杯,南美自由盃,Copa Libertadores,コパ・リベルタドーレス,Copa Libertadores,解放者杯 | 自由盃 | Libertadores | Copa Libertadores
uefa_champions_league,football,league,UEFA Champions League,欧冠,歐冠,UEFA Champions League,UEFAチャンピオンズリーグ,Liga de Campeones de la UEFA,欧冠 | 歐聯 | UCL | Champions League | UEFA Champions League
european_championship,football,league,European Championship,欧洲杯,歐洲國家盃,UEFA European Championship,欧州選手権,Campeonato Europeo de la UEFA,欧洲杯 | 歐國盃 | UEFA Euro | Euro 2024 | European Championship
fifa_world_cup,football,league,FIFA World Cup,世界杯,世界盃,FIFA World Cup,FIFAワールドカップ,Copa Mundial de la FIFA,世界杯 | 世足 | World Cup | FIFA World Cup
fb_1_fc_heidenheim_1846,football,team,1. FC Heidenheim 1846,海登海姆,海登咸,Heidenheim,1.FCハイデンハイム1846,Heidenheim,1. FC Heidenheim 1846 | Heidenheim | 海登咸 | 海登海姆
fb_1_fc_k_ln,football,team,1. FC Köln,科隆,科隆,FC Köln,1.FCケルン,Colonia,1. FC Koln | 1. FC Köln | FC Köln | Koln | 科隆
fb_1_fc_union_berlin,football,team,1. FC Union Berlin,柏林联合,柏林聯,Union Berlin,1.FCウニオン・ベルリン,Unión Berlín,1. FC Union Berlin | Union Berlin | 柏林联合 | 柏林聯
